element,wavelength
Fe,4714.0676
Fe,4727.3946
Fe,4728.5457
Fe,4736.7729
Fe,4737.6348
Fe,4745.7998
Fe,4757.5782
Fe,4768.3203
Fe,4786.8069
Fe,4788.7566
Fe,4789.6508
Fe,4793.9614
Fe,4794.3541
Fe,4802.8797
Fe,4808.1478
Fe,4838.5115
Fe,4839.5444
Fe,4840.3214
Fe,4840.8973
Fe,4844.0135
Fe,4855.6729
Fe,4859.7414
Fe,4871.3179
Fe,4872.1375
Fe,4875.877
Fe,4878.2108
Fe,4882.1431
Fe,4888.6366
Fe,4889.1021
Fe,4890.7551
Fe,4891.4921
Fe,5651.4689
Fe,5652.3176
Fe,5655.4931
Fe,5658.8163
Fe,5661.3447
Fe,5662.5161
Fe,5679.0229
Fe,5680.2404
Fe,5696.0892
Fe,5701.5442
Fe,5705.4642
Fe,5709.3779
Fe,5712.1312
Fe,5731.7618
Fe,5732.296
Fe,5741.8477
Fe,5753.1223
Fe,5762.9921
Fe,5775.0805
Fe,5778.4533
Fe,5791.0173
Fe,5806.7249
Fe,5809.2174
Fe,5811.9144
Fe,5814.8071
Fe,5849.6833
Fe,5853.1483
Fe,5855.0758
Fe,5858.778
Fe,5859.5863
Fe,5862.3564
Fe,6475.6239
Fe,6481.8698
Fe,6494.9804
Fe,6498.9383
Fe,6518.3657
Fe,6546.2381
Fe,6592.9124
Fe,6593.8695
Fe,6597.5592
Fe,6609.1097
Fe,6627.5438
Fe,6648.0796
Fe,6663.2315
Fe,6677.9851
Fe,6699.1413
Fe,6703.566
Fe,6713.7425
Fe,6725.3558
Fe,6733.1503
Fe,6739.5204
Fe,7742.8947
Fe,7748.2693
Fe,7780.5566
Fe,7832.1954
Fe,4720.1386
Fe,4731.4476
Fe,4833.1916
Fe,5714.9227
Fe,6516.0766
Fe,7711.7204
Li6708,6707.7635
C6588,6587.61
O,7771.944
O,7774.166
O,7775.388
Na,5682.6333
Na,5688.205
Na4752,4751.8218
Mg4730,4730.0286
Mg5711,5711.088
Mg7692,7691.55
Mg7723,7722.593
Al,6696.023
Al,6698.673
Al,7835.309
Al,7836.134
Si5646,5645.6128
Si5666,5665.5545
Si5684,5684.484
Si5690,5690.425
Si5701,5701.104
Si5708,5708.3995
Si5772,5772.146
Si5793,5793.0726
Si6584,6583.7074
Si6722,6721.8481
Si6742,6741.628
Si7680,7680.266
Si7688,7688.396
Si7761,7760.628
Si7799,7799.1797
Si7843,7842.9784
K7699,7698.9643
Ca,4878.126
Ca,5857.451
Ca,5867.562
Ca,6493.781
Ca,6499.65
Ca6472,6471.662
Ca6509,6508.8496
Ca,6718.515
Sc,4743.83
Sc,4753.161
Sc,5657.896
Sc,5667.149
Sc,5671.8163
Sc,5717.307
Sc,5724.107
Sc,6604.601
Sc5658,5658.361
Sc5669,5669.042
Ti4723,4722.6059
Ti4731,4731.1644
Ti4733,4733.4213
Ti4742,4742.1061
Ti4743,4742.7892
Ti4748,4747.6737
Ti4758,4758.1178
Ti4759,4759.2697
Ti4778,4778.2547
Ti4782,4781.7106
Ti4798,4797.9757
Ti4802,4801.9016
Ti4805,4805.4144
Ti4820,4820.4094
Ti4849,4848.477
Ti4856,4856.0103
Ti4870,4870.1246
Ti4885,4885.0794
Ti5689,5689.46
Ti5716,5716.45
Ti5720,5720.4359
Ti5739,5739.469
Ti5824,5823.6854
Ti5866,5866.4513
Ti6554,6554.223
Ti6556,6556.0618
Ti6599,6599.108
Ti6689,6689.257
Ti6717,6716.666
Ti6743,6743.1872
Ti6746,6745.5441
Ti7853,7852.677
Ti4720,4719.5109
Ti4763,4762.778
Ti4764,4763.8832
Ti4765,4764.5247
Ti4780,4779.985
Ti4799,4798.5313
Ti4849,4849.1678
Ti4866,4865.6104
Ti4874,4874.0094
V4832,4831.6457
V4747,4746.6159
V4784,4784.4665
V4797,4796.914
V4808,4807.5207
V4827,4827.4577
V4833,4832.4258
V4865,4864.7311
V4875,4875.4815
V4882,4881.5417
V5646,5646.1082
V5657,5657.4362
V5668,5668.352
V5671,5670.844
V5688,5687.7654
V5704,5703.5686
V5726,5725.6408
V5727,5727.0411
V5728,5727.6502
V5731,5731.2407
V5737,5737.0546
V5743,5743.4466
V5751,5750.6488
V5772,5772.4112
V5777,5776.6873
V6531,6531.4138
V6544,6543.5001
V6606,6605.9667
V6608,6607.818
V6625,6624.8384
Cr,4775.13
Cr,4789.335
Cr,4801.0247
Cr,4829.372
Cr,5787.919
Cr,6630.01
Cr4718,4718.419
Cr4745,4745.307
Cr4886,4885.952
Cr5702,5702.306
Cr5713,5712.771
Cr5720,5719.815
Cr5781,5781.167
Cr5787,5787.021
Cr5839,5838.669
Cr5845,5844.595
Cr4824,4824.127
Cr4836,4836.229
Cr4848,4848.2349
Mn,4727.46
Mn,4739.09
Mn,4754.0301
Mn,4761.506
Mn,4762.3618
Mn,4765.8525
Mn4766,4766.4145
Mn4783,4783.432
Mn,4823.5079
Co4781,4781.4283
Co4813,4813.4893
Co4840,4840.2521
Co4868,4867.8689
Co4900,4899.5135
Co5647,5647.243
Co5659,5659.1152
Co6490,6490.319
Co6551,6551.4491
Co6632,6632.4505
Co6679,6678.8091
Co7713,7712.6628
Co7838,7838.1261
Ni4716,4715.757
Ni4740,4740.159
Ni4752,4752.4198
Ni4757,4756.51
Ni4763,4762.6266
Ni4786,4786.2812
Ni4815,4814.591
Ni4829,4829.0231
Ni4831,4831.169
Ni4845,4845.322
Ni4855,4855.4109
Ni4857,4857.3924
Ni4866,4866.262
Ni4873,4873.438
Ni4875,4874.788
Ni4887,4886.705
Ni5710,5709.5448
Ni5712,5711.888
Ni5748,5748.3507
Ni5749,5749.299
Ni5755,5754.6556
Ni5847,5846.9935
Ni6483,6482.7983
Ni6533,6532.873
Ni6586,6586.3098
Ni6644,6643.6303
Ni7714,7714.3078
Ni7715,7715.5747
Ni7728,7727.6094
Ni7749,7748.8843
Ni7789,7788.9299
Ni7798,7797.5798
Cu5700,5700.2326
Cu5782,5782.1554
Zn4722,4722.153
Zn4811,4810.528
Rb7800,7800.259
Sr6550,6550.244
Y,4819.6383
Y,4854.8611
Y,4883.6821
Y,5662.9241
Y,5728.8865
Zr4739,4739.48
Zr4772,4772.31
Zr4806,4805.87
Zr4828,4828.04
Zr5681,5680.9
Mo5689,5689.146
Mo5751,5751.408
Mo5858,5858.266
Mo6619,6619.134
Ru4758,4757.848
Ru4869,4869.153
Ru5699,5699.056
Ba,5853.668
Ba,6496.897
La4716,4716.44
La4743,4743.071
La4749,4748.73
La4804,4804.069
La5806,5805.77
Ce4774,4773.941
Nd4764,4763.62
Nd4811,4811.342
Nd5741,5740.858
Nd5770,5770.489
Nd5812,5811.57
Nd5842,5842.366
Nd5843,5843.2
Nd6740,6740.078
Sm4720,4719.84
Sm4746,4745.68
Sm4792,4791.58
Sm4837,4836.66
Sm4848,4847.76
Sm4854,4854.368
Eu5819,5818.7274
Eu6645,6645.0978
Dy5868,5868.107
H_alpha,6562.79
H_beta,4861.33
