element,atomic_nr,line,line_begin,line_end
Li,3,6707.763671875,6707.2998046875,6708.2998046875
C,6,6587.60986328125,6587.26123046875,6587.98583984375
C2,6,4726.0,4723.5,4727.0
C2,6,4737.0,4732.5,4737.5
CN,7,7850.0,7849.5,7843.0
CN,7,7872.0,7872.0,7885.0
O,8,7771.94384765625,7771.35888671875,7772.5087890625
O,8,7774.166015625,7773.52197265625,7774.7822265625
O,8,7775.38818359375,7774.912109375,7775.9619140625
Na,11,4751.82177734375,4751.68896484375,4751.94384765625
Na,11,5682.63330078125,5682.51708984375,5682.9970703125
Na,11,5688.205078125,5687.9169921875,5688.39208984375
Mg,12,4730.02880859375,4729.9580078125,4730.3017578125
Mg,12,5711.087890625,5710.7568359375,5711.42822265625
Mg,12,7691.5498046875,7691.10400390625,7691.87890625
Mg,12,7722.5927734375,7722.25,7722.7998046875
Al,13,6696.02294921875,6695.77783203125,6696.1728515625
Al,13,6698.6728515625,6698.39208984375,6698.89501953125
Al,13,7835.30908203125,7834.8837890625,7835.57177734375
Al,13,7836.1337890625,7835.81298828125,7836.43115234375
K,19,7698.96435546875,7698.5732421875,7699.2958984375
Ca,20,5857.451171875,5857.01806640625,5857.625
Ca,20,5867.56201171875,5867.2998046875,5867.7001953125
Ca,20,6493.78076171875,6493.46484375,6493.9931640625
Ca,20,6499.64990234375,6499.3779296875,6499.955078125
Ca,20,6508.849609375,6508.54296875,6509.009765625
Sc,21,4743.830078125,4743.548828125,4744.0
Sc,21,4753.1611328125,4753.0,4753.39990234375
Sc,21,5657.89599609375,5657.67822265625,5658.1220703125
Sc,21,5667.14892578125,5666.90576171875,5667.3232421875
Sc,21,5669.0419921875,5668.740234375,5669.33984375
Sc,21,5671.81640625,5671.60498046875,5672.091796875
Sc,21,5717.30712890625,5717.0,5717.5
Sc,21,5724.10693359375,5723.89404296875,5724.26904296875
Sc,21,6604.60107421875,6604.4091796875,6604.97900390625
Cr,24,4718.4189453125,4718.119140625,4718.71923828125
Cr,24,4775.1298828125,4774.9501953125,4775.30712890625
Cr,24,4789.3349609375,4789.19287109375,4789.48193359375
Cr,24,4801.02490234375,4800.8388671875,4801.23291015625
Cr,24,4824.126953125,4823.830078125,4824.43017578125
Cr,24,4836.22900390625,4835.92919921875,4836.52880859375
Cr,24,4848.23486328125,4848.0,4848.328125
Cr,24,5719.81494140625,5719.5048828125,5720.10205078125
Cr,24,5787.9189453125,5787.64013671875,5788.16015625
Cr,24,5844.59521484375,5844.38623046875,5844.77880859375
Cr,24,6630.009765625,6629.77392578125,6630.27197265625
Mn,25,4739.08984375,4738.89697265625,4739.30419921875
Mn,25,4754.0302734375,4753.7998046875,4754.2998046875
Mn,25,4761.505859375,4761.35205078125,4761.76220703125
Mn,25,4765.8525390625,4765.7109375,4766.05712890625
Mn,25,4766.41455078125,4766.1201171875,4766.72021484375
Mn,25,4783.43212890625,4783.18896484375,4783.5888671875
Cu,29,5700.232421875,5699.93505859375,5700.39111328125
Cu,29,5782.1552734375,5781.90087890625,5782.47314453125
Zn,30,4722.15283203125,4721.708984375,4722.40283203125
Zn,30,4810.52783203125,4810.2998046875,4810.748046875
Rb,37,7800.2587890625,7800.240234375,7800.4658203125
Sr,38,6550.244140625,6550.0908203125,6550.44189453125
Y,39,4819.63818359375,4819.337890625,4819.93798828125
Y,39,4854.861328125,4854.623046875,4855.10107421875
Y,39,4883.68212890625,4883.4501953125,4883.90478515625
Y,39,5662.92431640625,5662.72900390625,5663.16796875
Y,39,5728.88671875,5728.73388671875,5729.02392578125
Zr,40,4739.47998046875,4739.31884765625,4739.57177734375
Zr,40,4772.31005859375,4772.22998046875,4772.43115234375
Zr,40,4805.8701171875,4805.716796875,4806.05712890625
Zr,40,4828.0400390625,4827.912109375,4828.2041015625
Zr,40,5680.89990234375,5680.59716796875,5681.19677734375
Mo,42,5689.14599609375,5688.84619140625,5689.44580078125
Mo,42,5751.408203125,5751.2998046875,5751.60009765625
Mo,42,5858.26611328125,5858.10009765625,5858.5
Mo,42,6619.1337890625,6618.830078125,6619.43017578125
Ru,44,4757.84814453125,4757.541015625,4758.14111328125
Ru,44,4869.15283203125,4869.02587890625,4869.2841796875
Ru,44,5699.05615234375,5698.755859375,5699.35595703125
Ba,56,5853.66796875,5853.5,5854.0
Ba,56,6496.89697265625,6496.701171875,6497.27783203125
La,57,4716.43994140625,4716.3017578125,4716.5869140625
La,57,4748.72998046875,4748.5751953125,4748.921875
La,57,4804.06884765625,4803.85009765625,4804.29296875
Ce,58,4773.94091796875,4773.8427734375,4774.07177734375
Nd,60,4811.341796875,4811.203125,4811.53515625
Nd,60,5740.85791015625,5740.6982421875,5741.033203125
Nd,60,5770.48876953125,5770.30615234375,5770.7080078125
Nd,60,5811.56982421875,5811.3349609375,5811.76220703125
Nd,60,5842.3662109375,5842.18603515625,5842.6201171875
Nd,60,5843.2001953125,5842.89990234375,5843.5
Sm,62,4719.83984375,4719.5380859375,4720.13818359375
Sm,62,4791.580078125,4791.28515625,4791.884765625
Sm,62,4836.66015625,4836.5,4836.75
Sm,62,4847.759765625,4847.4599609375,4848.06005859375
Sm,62,4854.3681640625,4854.2001953125,4854.5
Eu,63,6645.09765625,6644.81982421875,6645.35986328125
